id,stream,title,due,owner_role,depends_on,status,phase
PS-011,psgf,Full proposal next stage,2027-Q1,grant_lead,PS-008;PS-010,todo,P2
PS-012,psgf,Monthly MPI process check,ongoing,grant_lead,,todo,P2
MD-001,mdf,Cultural Advisor MDF go/no-go,2026-08-31,cultural,,todo,P3
MD-002,mdf,Identify kaitono entity if go,2026-09-30,cultural,MD-001,todo,P3
MD-003,mdf,Map to MDF investment priority,2026-10-05,grant_lead,MD-002,todo,P3
MD-004,mdf,Contact TPK regional office first,2026-10-15,cultural,MD-002,todo,P3
MD-005,mdf,Co-design outcomes benefit-sharing OCAP,2026-11-15,cultural,MD-004,todo,P3
MD-006,mdf,ROI and sustainability plan,2026-12-15,finance,MD-005,todo,P3
MD-007,mdf,Complete TPK template after guidance,2027-01-31,grant_lead,MD-004;MD-006,todo,P3
MD-008,mdf,HITL and submit MDF,2027-Q1,grant_lead,MD-007,todo,P3
MD-009,mdf,If no-go park and reassess Q2 2027,2026-08-31,cultural,MD-001,todo,P3
MX-001,mabx,Search tupu.nz Taranaki and nationwide,2026-08-31,cultural,,todo,P3
MX-002,mabx,Read MABx programme eligibility,2026-08-31,cultural,,todo,P3
MX-003,mabx,One-pager CAT as whenua tech partner,2026-09-15,grant_lead,MX-001,todo,P3
MX-004,mabx,Warm intro path no spam,2026-10-31,cultural,MX-003,todo,P3
MX-005,mabx,If cluster pilot kit and data MoU,2026-Q4,tech,MX-004,todo,P3
NZ-001,nziat,Map shortlisted concepts to portals,2026-08-15,grant_lead,,todo,P2
NZ-002,nziat,One-pager sovereign edge contribution,2026-08-31,tech,NZ-001,todo,P2
NZ-003,nziat,Identify 3 uni CRI contacts,2026-09-15,grant_lead,NZ-001,todo,P2
NZ-004,nziat,Outreach edge pilot partnership,2026-10-31,grant_lead,NZ-002;NZ-003,todo,P2
NZ-005,nziat,Revisit when host announced,2026-Q4,grant_lead,NZ-004,todo,P2
CL-001,climate,Quarterly MfE Stage 3 check,quarterly,cultural,,todo,watch
CL-002,climate,Engage only if marae-led fit,gate,cultural,CL-001,todo,watch
AN-001,angel,10-slide investor deck,2026-11-15,grant_lead,PS-009;FD-007,todo,P4
AN-002,angel,Data room v0,2026-11-30,finance,AN-001,todo,P4
AN-003,angel,Target list 20 angels funds,2026-11-15,grant_lead,,todo,P4
AN-004,angel,Soft circle coffees,2026-12-15,founder,AN-001;AN-003,todo,P4
AN-005,angel,Decide SAFE instrument with counsel,2027-01-15,founder,AN-004,todo,P4
AN-006,angel,Formal raise window 3-4 months,2027-Q1,founder,AN-005;PS-009,todo,P4
AN-007,angel,HITL term sheet and close,2027-Q2,founder,AN-006,todo,P4
SV-001,nz_seed,Research NZ seed fund thesis fit,2026-12-15,grant_lead,,todo,P5
SV-002,nz_seed,Metrics pack nodes offline pilots ARR,2027-03-31,tech,PS-010,todo,P5
SV-003,nz_seed,AU beachhead memo,2027-04-30,gtm,FD-007,todo,P5
SV-004,nz_seed,Warm intros only,2027-Q2,founder,SV-002,todo,P5
SV-005,nz_seed,Full seed if multi-pilot or ARR path,2027-H2,founder,SV-004,todo,P5
SV-006,nz_seed,Policy skip global VC until metrics,policy,founder,,todo,P5
GL-001,global,Annual re-score eligibility matrix,each Jul,grant_lead,,todo,later
GL-002,global,No cold tier-1 AI agritech outreach early,policy,founder,,todo,later
GL-003,global,Track Halter-class field metric north star,ongoing,gtm,,todo,later
KA-001,kotahitanga,Review planning scenario KAS-PLAN-008 unfunded,2026-08-15,finance,,todo,internal
KA-002,kotahitanga,Monthly review planning scenarios only,monthly,grant_lead,,todo,internal
KA-003,kotahitanga,HITL internal allocations over 50k,per event,founder,,todo,internal
KA-004,kotahitanga,No double-count grant vs internal pots,per app,finance,,todo,internal
